rank,country,papers
1,US,15496
2,CN,6255
3,GB,2828
4,CA,1416
5,HK,1336
6,DE,1310
7,SG,1070
8,CH,1059
9,FR,1025
10,IL,962
11,KR,877
12,AU,683
13,JP,651
14,IT,297
15,NL,295
16,IN,243
17,AT,217
18,DK,146
19,FI,137
20,SE,129
21,SA,117
22,BE,111
23,ES,96
24,TW,75
25,RU,57
26,BR,39
27,PL,33
28,GR,27
29,PT,26
30,NO,25
31,IR,18
32,NZ,17
33,CL,15
34,IE,15
35,CZ,13
36,HU,12
37,TR,9
38,SS,8
39,AE,7
40,RO,7
41,MX,6
42,BI,5
43,PK,5
44,UY,5
45,BY,4
46,LU,4
47,AR,3
48,DZ,3
49,LK,3
50,MO,3
51,MY,3
52,RS,3
53,ZA,3
54,EE,2
55,HR,2
56,QA,2
57,TH,2
58,AM,1
59,BG,1
60,CO,1
61,IQ,1
62,IS,1
63,LT,1
64,VN,1
